timestamp,cpu_Percent,memory,memoryPercent,networkRX,networkTX
2019-02-14T14:31:11.648525827Z,1.9135432,2260619264,1.082450258701197,27588,55296
2019-02-14T14:31:13.516174954Z,2.6468909,2260541440,1.0824129943063143,9426,18810
2019-02-14T14:31:16.74899056Z,1.85306108,2260541440,1.0824129943063143,77748,155484
2019-02-14T14:31:18.65209827Z,4.0684799,2260541440,1.0824129943063143,81162,162798
2019-02-14T14:31:19.980485932Z,2.3762459166666665,2260541440,1.0824129943063143,56196,113472
2019-02-14T14:31:21.598675727Z,2.443252785714286,2260541440,1.0824129943063143,67326,135222
2019-02-14T14:31:23.182458264Z,3.15592766,2260582400,1.0824326071457262,65580,132186
2019-02-14T14:31:24.726080897Z,1.9547407625,2260582400,1.0824326071457262,67128,135132
2019-02-14T14:31:26.47761032Z,2.5416440857142857,2260582400,1.0824326071457262,74898,149622
2019-02-14T14:31:28.416871628Z,2.546480575,2260582400,1.0824326071457262,84120,169764
2019-02-14T14:31:29.646666426Z,2.1023842,2260582400,1.0824326071457262,54234,107688
2019-02-14T14:31:31.232927522Z,2.6868441333333335,2260582400,1.0824326071457262,69166,136930
2019-02-14T14:31:32.547240429Z,2.085412728571429,2260639744,1.0824600651209029,57648,116226
2019-02-14T14:31:34.061679531Z,2.1842335714285714,2260639744,1.0824600651209029,64278,128112
2019-02-14T14:31:35.209680486Z,2.44384008,2260639744,1.0824600651209029,48048,97284
2019-02-14T14:31:37.181262198Z,2.952574057142857,2260639744,1.0824600651209029,84066,168714
2019-02-14T14:31:38.467608005Z,1.3910804666666667,2260639744,1.0824600651209029,15918,31944
2019-02-14T14:31:40.228171348Z,2.504846842857143,2260639744,1.0824600651209029,71994,143934
2019-02-14T14:31:41.87891675Z,2.471421933333333,2260684800,1.082481639244256,29430,58320
2019-02-14T14:31:43.298201074Z,3.885942066666667,2260684800,1.082481639244256,49098,100014
2019-02-14T14:31:44.555332351Z,2.2087614833333333,2260684800,1.082481639244256,55458,110472
2019-02-14T14:31:46.483574777Z,2.877940842857143,2260684800,1.082481639244256,81834,164250
2019-02-14T14:31:48.021520862Z,2.553472316666667,2260684800,1.082481639244256,63456,127830
2019-02-14T14:31:49.396520279Z,2.40536612,2260684800,1.082481639244256,59730,121794
2019-02-14T14:31:50.87947929Z,2.57938524,2260684800,1.082481639244256,53238,107502
2019-02-14T14:31:51.937701801Z,1.4028511,2260738048,1.0825071359354916,45186,91356
2019-02-14T14:31:53.181549443Z,2.11963535,2260738048,1.0825071359354916,53520,107448
2019-02-14T14:31:54.529955796Z,1.8682259375,2260738048,1.0825071359354916,59142,117798
2019-02-14T14:31:56.488219667Z,1.97286008,2260738048,1.0825071359354916,83868,167034
2019-02-14T14:31:57.587900511Z,3.4884873,2260738048,1.0825071359354916,46446,93180
2019-02-14T14:31:58.945974504Z,3.3021064,2260738048,1.0825071359354916,57648,116214
2019-02-14T14:32:00.474690954Z,3.5963124,2260738048,1.0825071359354916,56184,111978
2019-02-14T14:32:02.426260956Z,1.9802707363636363,2260795392,1.0825345939106683,85138,169060
2019-02-14T14:32:04.226881891Z,4.89652295,2260795392,1.0825345939106683,74640,149688
2019-02-14T14:32:06.087346418Z,2.4818552375,2260795392,1.0825345939106683,79608,159738
2019-02-14T14:32:07.918062103Z,4.66865045,2260795392,1.0825345939106683,76158,152712
2019-02-14T14:32:09.058332857Z,2.8064359,2260795392,1.0825345939106683,48294,95832
2019-02-14T14:32:10.397896385Z,2.19857815,2260795392,1.0825345939106683,56424,113376
2019-02-14T14:32:11.967062641Z,2.84299248,2260852736,1.082562051885845,60030,119292
2019-02-14T14:32:13.021131744Z,8.243383,2260852736,1.082562051885845,32562,65394
2019-02-14T14:32:14.144322571Z,1.7602937,2260852736,1.082562051885845,44676,89904
2019-02-14T14:32:16.07833313Z,3.1098772333333335,2260852736,1.082562051885845,79092,158388
2019-02-14T14:32:17.512479516Z,6.00941125,2260852736,1.082562051885845,51546,104370
2019-02-14T14:32:18.734466407Z,3.194640175,2260852736,1.082562051885845,53388,107328
2019-02-14T14:32:19.947496475Z,2.57441812,2260852736,1.082562051885845,53682,107568
2019-02-14T14:32:21.759227681Z,2.2989611625,2260905984,1.0825875485770806,77628,155310
2019-02-14T14:32:23.050549601Z,2.49425414,2260905984,1.0825875485770806,54114,108834
2019-02-14T14:32:24.903119725Z,2.7934671166666667,2260905984,1.0825875485770806,69210,140724
2019-02-14T14:32:26.144466898Z,2.47316508,2260905984,1.0825875485770806,50874,101802
2019-02-14T14:32:27.916400509Z,1.7858684714285715,2260905984,1.0825875485770806,49314,98790
2019-02-14T14:32:28.931841445Z,1.9830526333333334,2260905984,1.0825875485770806,24522,49434
2019-02-14T14:32:30.106720258Z,2.33592356,2260905984,1.0825875485770806,49932,100134
2019-02-14T14:32:31.774662573Z,2.216407457142857,2260955136,1.082611083984375,62134,125140
2019-02-14T14:32:33.686310668Z,1.62814888,2260955136,1.082611083984375,70260,142002
2019-02-14T14:32:35.490925992Z,2.6264487714285716,2260955136,1.082611083984375,76134,152634
2019-02-14T14:32:36.580783183Z,2.8367866333333334,2260955136,1.082611083984375,37470,75546
2019-02-14T14:32:37.685867154Z,1.91083034,2260955136,1.082611083984375,41316,82698
2019-02-14T14:32:43.532457816Z,0.4650228,2260987904,1.0826267742559046,0,0
