timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,Hostname,Connect
1548168518611,40344,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168518611,5722000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168518612,54545,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168519613,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168519614,40344,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168519614,6961000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168519614,51378,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168520615,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168520615,40333,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168520615,7706000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168520615,50626,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168521616,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168521616,40333,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168521616,8938000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168521616,50502,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168522617,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168522617,40333,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168522617,7284000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168522617,50999,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168523618,-1984,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168523618,40333,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168523618,8450000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168523619,54135,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168524619,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168524619,40333,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
